province,total_doses,age,dose1,dose2,dose3
Lạng Sơn,1607879,Age 5 to 11,15607,0,0
Lạng Sơn,1607879,Age 12 to 17,68745,63485,0
Lạng Sơn,1607879,Age over 18,512880,506976,440186
Quảng Ninh,3192738,Age 5 to 11,24082,0,0
Quảng Ninh,3192738,Age 12 to 17,124328,120979,0
Quảng Ninh,3192738,Age over 18,1013444,987870,900410
Bắc Giang,4181205,Age 5 to 11,20844,0,0
Bắc Giang,4181205,Age 12 to 17,149985,149460,0
Bắc Giang,4181205,Age over 18,1305661,1288142,1107369
Phú Thọ,3181848,Age 5 to 11,31650,0,0
Phú Thọ,3181848,Age 12 to 17,131870,131148,0
Phú Thọ,3181848,Age over 18,1004997,1007672,581800
Vĩnh Phúc,2520978,Age 5 to 11,10284,0,0
Vĩnh Phúc,2520978,Age 12 to 17,118199,115239,0
Vĩnh Phúc,2520978,Age over 18,796339,778681,459242
Bắc Ninh,3519907,Age 5 to 11,23964,0,0
Bắc Ninh,3519907,Age 12 to 17,117485,111579,0
Bắc Ninh,3519907,Age over 18,1138744,1098835,668782
Hải Dương,3882164,Age 5 to 11,18337,0,0
Hải Dương,3882164,Age 12 to 17,157247,155092,0
Hải Dương,3882164,Age over 18,1336461,1295294,809825
Hải Phòng,4711610,Age 5 to 11,210,0,0
Hải Phòng,4711610,Age 12 to 17,173649,174568,0
Hải Phòng,4711610,Age over 18,1699550,1627840,456392
Hưng Yên,2579227,Age 5 to 11,18514,0,0
Hưng Yên,2579227,Age 12 to 17,110591,110075,0
Hưng Yên,2579227,Age over 18,826764,803485,400508
Thái Bình,3763303,Age 5 to 11,31945,0,0
Thái Bình,3763303,Age 12 to 17,154582,148464,0
Thái Bình,3763303,Age over 18,1163834,1207414,631062
Hà Nam,1926845,Age 5 to 11,14457,0,0
Hà Nam,1926845,Age 12 to 17,71440,69259,0
Hà Nam,1926845,Age over 18,585031,577105,331816
Nam Định,3621099,Age 5 to 11,37442,0,0
Nam Định,3621099,Age 12 to 17,159064,158206,0
Nam Định,3621099,Age over 18,1150273,1134762,923992
Ninh Bình,2267319,Age 5 to 11,18929,0,0
Ninh Bình,2267319,Age 12 to 17,82255,79446,0
Ninh Bình,2267319,Age over 18,675426,668271,430096
Thanh Hoá,7568256,Age 5 to 11,50188,0,0
Thanh Hoá,7568256,Age 12 to 17,288213,283647,0
Thanh Hoá,7568256,Age over 18,2205107,2145276,1874212
Nghệ An,6810858,Age 5 to 11,16939,0,0
Nghệ An,6810858,Age 12 to 17,281138,267952,0
Nghệ An,6810858,Age over 18,2005436,1998146,1171437
Hà Tĩnh,2396015,Age 5 to 11,9672,0,0
Hà Tĩnh,2396015,Age 12 to 17,114916,113130,0
Hà Tĩnh,2396015,Age over 18,806308,760336,308234
Quảng Bình,1659328,Age 5 to 11,4625,0,0
Quảng Bình,1659328,Age 12 to 17,82668,77289,0
Quảng Bình,1659328,Age over 18,540639,530710,244703
Quảng Trị,1335628,Age 5 to 11,8659,0,0
Quảng Trị,1335628,Age 12 to 17,66177,61034,0
Quảng Trị,1335628,Age over 18,434210,421722,267548
Thừa Thiên Huế,2478450,Age 5 to 11,21122,0,0
Thừa Thiên Huế,2478450,Age 12 to 17,105332,100403,0
Thừa Thiên Huế,2478450,Age over 18,787903,769533,407423
Đà Nẵng,2665402,Age 5 to 11,10439,0,0
Đà Nẵng,2665402,Age 12 to 17,102158,99989,0
Đà Nẵng,2665402,Age over 18,881445,866509,622453
Quảng Nam,3323737,Age 5 to 11,9414,0,0
Quảng Nam,3323737,Age 12 to 17,132605,130337,0
Quảng Nam,3323737,Age over 18,1086453,1056325,436676
Quảng Ngãi,2559106,Age 5 to 11,9294,0,0
Quảng Ngãi,2559106,Age 12 to 17,114341,113152,0
Quảng Ngãi,2559106,Age over 18,853860,814084,528840
