date,vaccinated,vaccinated_percent,completed_vaccination,completed_vaccination_percent
Dec 18/2021,75697403,0,7711,,0
Dec 17/2021,75631255,0,7704,,0
Dec 16/2021,75423217,0,7683,,0
Dec 15/2021,75215180,0,7662,,0
Dec 14/2021,75140181,0,7654,,0
Dec 13/2021,75023739,0,7642,,0
Dec 12/2021,74907297,0,763,,0
Dec 11/2021,74832161,0,7623,,0
Dec 10/2021,74713350,0,7611,,0
Dec 9/2021,74647961,0,7604,56385381,0,5744
Dec 8/2021,74039917,0,7542,,0
Dec 7/2021,73899767,0,7528,,0
Dec 6/2021,73663229,0,7504,,0
Dec 5/2021,73393169,0,7476,,0
Dec 4/2021,73274234,0,7464,,0
Dec 3/2021,73155299,0,7452,,0
Dec 2/2021,72731280,0,7409,53224715,0,5422
Dec 1/2021,72427696,0,7378,,0
Nov 30/2021,71785544,0,7312,,0
Nov 29/2021,71143392,0,7247,,0
Nov 28/2021,70958765,0,7228,,0
Nov 27/2021,69747303,0,7105,,0
Nov 26/2021,69309495,0,706,,0
Nov 25/2021,68934236,0,7022,,0
Nov 24/2021,68490909,0,6977,,0
Nov 23/2021,67824005,0,6909,,0
Nov 22/2021,67337689,0,6859,,0
Nov 21/2021,66916471,0,6816,,0
Nov 20/2021,66706890,0,6795,,0
Nov 19/2021,66483363,0,6772,,0
Nov 18/2021,66128162,0,6736,,0
Nov 17/2021,65772961,0,67,,0
Nov 16/2021,65222953,0,6644,,0
Nov 15/2021,64767521,0,6598,,0
Nov 14/2021,64467940,0,6567,,0
Nov 13/2021,64322087,0,6552,,0
Nov 12/2021,64073710,0,6527,,0
Nov 11/2021,63682168,0,6487,,0
Nov 10/2021,63244580,0,6442,,0
Nov 9/2021,62806992,0,6398,,0
Nov 8/2021,61907563,0,6306,,0
Nov 7/2021,61376484,0,6252,,0
Nov 6/2021,60845405,0,6198,,0
Nov 5/2021,60100552,0,6122,,0
Nov 4/2021,59355699,0,6046,,0
Nov 3/2021,58807646,0,599,,0
Nov 2/2021,58449622,0,5954,,0
Nov 1/2021,58013895,0,591,,0
Oct 31/2021,57332644,0,584,,0
Oct 30/2021,57044159,0,5811,,0
Oct 29/2021,56616780,0,5767,,0
Oct 28/2021,55578783,0,5662,,0
Oct 27/2021,54520772,0,5554,,0
Oct 26/2021,53738466,0,5474,,0
Oct 25/2021,53125886,0,5412,,0
Oct 24/2021,52504680,0,5348,,0
Oct 23/2021,51883474,0,5285,21045837,0,2144
Oct 22/2021,51157792,0,5211,20731417,0,2112
Oct 21/2021,50255054,0,5119,20094490,0,2047
Oct 20/2021,49352317,0,5027,19457563,0,1982
Oct 19/2021,47997541,0,4889,19086016,0,1944
Oct 18/2021,46493751,0,4736,18498737,0,1884
Oct 17/2021,45281937,0,4613,18152243,0,1849
Oct 16/2021,44070286,0,4489,17849651,0,1818
Oct 15/2021,42940857,0,4374,17520730,0,1785
Oct 14/2021,41811429,0,4259,17191810,0,1751
Oct 13/2021,40654892,0,4141,16802200,0,1712
Oct 12/2021,39837150,0,4058,16493600,0,168
Oct 11/2021,39088086,0,3982,16141038,0,1644
Oct 10/2021,38698136,0,3942,15581428,0,1587
Oct 9/2021,38211808,0,3892,14912028,0,1519
Oct 8/2021,37725480,0,3843,14242628,0,1451
Oct 7/2021,37087003,0,3778,13524513,0,1378
Oct 6/2021,36448527,0,3713,12806398,0,1305
Oct 5/2021,35933360,0,366,12221677,0,1245
Oct 4/2021,35355593,0,3602,11613917,0,1183
Oct 3/2021,34622194,0,3527,10873929,0,1108
Oct 2/2021,34155519,0,3479,10482392,0,1068
Oct 1/2021,33532395,0,3416,10126423,0,1032
Sep 30/2021,33069709,0,3369,9818448,0,1
Sep 29/2021,32669057,0,3328,9496111,0,0967
Sep 28/2021,32171641,0,3277,8981400,0,0915
Sep 27/2021,31497967,0,3209,8597064,0,0876
Sep 26/2021,30946214,0,3152,8286558,0,0844
Sep 25/2021,30420963,0,3099,7946283,0,0809
Sep 24/2021,30027703,0,3059,7555545,0,077
Sep 23/2021,29534498,0,3009,7259412,0,0739
Sep 22/2021,29094447,0,2964,7058109,0,0719
Sep 21/2021,28745680,0,2928,6930160,0,0706
Sep 20/2021,28288007,0,2882,6783707,0,0691
Sep 19/2021,27913529,0,2843,6640061,0,0676
Sep 18/2021,27577472,0,2809,6517771,0,0664
Sep 17/2021,27208264,0,2772,6347095,0,0647
Sep 16/2021,26821906,0,2732,6184726,0,063
Sep 15/2021,26307653,0,268,5988864,0,061
Sep 14/2021,25420169,0,2589,5834687,0,0594
Sep 13/2021,24727517,0,2519,5621403,0,0573
Sep 12/2021,23954248,0,244,5326059,0,0543
Sep 11/2021,23157067,0,2359,5056325,0,0515
Sep 10/2021,22367824,0,2279,4740764,0,0483
Sep 9/2021,21459102,0,2186,4467586,0,0455
Sep 8/2021,20591403,0,2098,4189782,0,0427
Sep 7/2021,19809234,0,2018,3768683,0,0384
Sep 6/2021,19231238,0,1959,3444406,0,0351
Sep 5/2021,18673340,0,1902,3338783,0,034
Sep 4/2021,18246636,0,1859,3198545,0,0326
Sep 3/2021,17998754,0,1833,3047525,0,031
Sep 2/2021,17872356,0,1821,2959122,0,0301
Sep 1/2021,17660772,0,1799,2881553,0,0294
Aug 31/2021,17483818,0,1781,2726563,0,0278
Aug 30/2021,17347538,0,1767,2619186,0,0267
Aug 29/2021,17186153,0,1751,2524407,0,0257
Aug 28/2021,16999888,0,1732,2431205,0,0248
Aug 27/2021,16822691,0,1714,2328431,0,0237
Aug 26/2021,16607991,0,1692,2235013,0,0228
Aug 25/2021,16382658,0,1669,2139545,0,0218
Aug 24/2021,16056222,0,1636,2039251,0,0208
Aug 23/2021,15725040,0,1602,1922313,0,0196
Aug 22/2021,15530221,0,1582,1834348,0,0187
Aug 21/2021,15274648,0,1556,1791248,0,0182
Aug 20/2021,14787599,0,1506,1707066,0,0174
Aug 19/2021,14669827,0,1494,1636372,0,0167
Aug 18/2021,14359868,0,1463,1562669,0,0159
Aug 17/2021,14032444,0,1429,1486425,0,0151
Aug 16/2021,13869728,0,1413,1401834,0,0143
Aug 15/2021,13287434,0,1354,1379274,0,0141
Aug 14/2021,13078340,0,1332,1355677,0,0138
Aug 13/2021,12500947,0,1273,1271973,0,013
Aug 12/2021,12064617,0,1229,1191855,0,0121
Aug 11/2021,11006121,0,1121,1092700,0,0111
Aug 10/2021,10305762,0,105,1036102,0,0106
Aug 9/2021,8984300,0,0915,1003287,0,0102
Aug 8/2021,8460013,0,0862,945806,0,0096
Aug 7/2021,8008156,0,0816,888459,0,0091
Aug 6/2021,7664944,0,0781,863323,0,0088
Aug 5/2021,7241093,0,0738,820023,0,0084
Aug 4/2021,6774332,0,069,778986,0,0079
Aug 3/2021,6547477,0,0667,744331,0,0076
Aug 2/2021,6246333,0,0636,712864,0,0073
Aug 1/2021,5756155,0,0586,659064,0,0067
Jul 31/2021,5583255,0,0569,620611,0,0063
Jul 30/2021,5342483,0,0544,588893,0,006
Jul 29/2021,4983496,0,0508,546402,0,0056
Jul 28/2021,4825209,0,0492,49663,0,0051
Jul 27/2021,4562339,0,0465,450836,0,0046
Jul 26/2021,4323571,0,044,423071,0,0043
Jul 25/2021,4223628,0,043,389863,0,004
Jul 24/2021,4163388,0,0424,372353,0,0038
Jul 23/2021,4125156,0,042,353601,0,0036
Jul 22/2021,4077099,0,0415,33456,0,0034
Jul 21/2021,4042984,0,0412,324955,0,0033
Jul 20/2021,4019161,0,0409,317672,0,0032
Jul 19/2021,3995710,0,0407,309791,0,0032
Jul 18/2021,3977431,0,0405,306475,0,0031
Jul 17/2021,3956254,0,0403,304998,0,0031
Jul 16/2021,3935719,0,0401,298177,0,003
Jul 15/2021,3890947,0,0396,294676,0,003
Jul 14/2021,3859995,0,0393,286772,0,0029
Jul 13/2021,3795182,0,0387,283884,0,0029
Jul 12/2021,3783505,0,0385,280367,0,0029
Jul 11/2021,3774138,0,0384,277447,0,0028
Jul 10/2021,3769374,0,0384,271409,0,0028
Jul 9/2021,3752512,0,0382,258274,0,0026
Jul 8/2021,3734268,0,038,249532,0,0025
